step,ref_x,ref_y,sim_x,sim_y,err_x,err_y,u_x,u_y
0,-0.2687201379137996,0.10032081692292531,-0.2536478667606383,0.12242981290763842,0.015072271153161343,0.02210899598471311,4.430276142012668,-7.045996704743837
1,-0.4561713230230813,-0.004166929167640068,-0.3608665100717227,0.05327479592473626,0.09530481295135856,0.05744172509237633,30.28207069342861,-22.82878089339903
2,-0.73604723193421,-0.13175852083458403,-0.5735767510085005,-0.05403626119289512,0.16247048092570948,0.07772225964168891,61.45984422538245,-36.383926365943516
3,-0.9493810273632085,-0.18248797991117055,-0.8032729990208257,-0.13877438586616,0.1461080283423828,0.043713594045010545,66.25011726159042,-29.404796433161714
4,-1.0216565835707883,-0.06566431773786469,-0.9517727722187795,-0.11538831009593528,0.06988381135200872,-0.049723992358070596,42.64400200301582,5.279285191609063
5,-0.9567403275855628,0.10492561032412831,-0.9772105645025714,0.003716714560491663,-0.020470236917008555,-0.10120889576363665,6.254207354965537,36.72577758201173
6,-0.7858701387999723,0.2514671085314642,-0.8842734926995318,0.1493552059847116,-0.09840335389955956,-0.10211190254675259,-29.73832408976201,47.06991358895346
7,-0.6977494784029112,0.40489501932081146,-0.7754924701368601,0.300046046450158,-0.07774299173394883,-0.10484897287065348,-34.28396669170004,48.31751543906841
8,-0.7545001413713144,0.5502580173340901,-0.7534598155628498,0.44987795013797577,0.0010403258084645817,-0.10038006719611431,-7.29022604866507,45.17030738806752
9,-0.7269619120586637,0.6379798290675045,-0.7463871992464476,0.5686570299135382,-0.019425287187783913,-0.06932279915396633,-3.2027132531584144,34.95554594120611
10,-0.6659971779151526,0.6437030337673735,-0.7074711118012282,0.6243126875646028,-0.041473933886075676,-0.019390346202770692,-14.167293256077745,16.568833249738766
11,-0.5926628976398531,0.6488203570108128,-0.6459513560900467,0.6433460481005916,-0.05328845845019359,-0.0054743089102211595,-21.66953690615383,6.027062615822121
12,-0.6130687984144438,0.6816789960754462,-0.6222566120242763,0.6662140266650037,-0.009187813609832451,-0.015464969410442508,-9.725957985843063,6.07448831021908
13,-0.7808583443375341,0.9001445164072127,-0.7042179908243572,0.789396543041602,0.07664035351317688,-0.11074797336561071,24.846291410025277,33.0883781082203
14,-0.9398049307003112,1.1186543637288566,-0.8445875929239371,0.9830486545064204,0.09521733777637409,-0.1356057092224362,43.99040621080769,52.24408650033081
15,-1.1122656224139047,1.2933370406479927,-1.0054025680150416,1.173511997792037,0.10686305439886312,-0.11982504285595574,49.97446482412582,50.42676858527274
16,-1.2754858008767254,1.3304551982068102,-1.1700154186820286,1.2839294338356795,0.10547038219469673,-0.04652576437113076,49.44084975875635,26.344581681469947
17,-1.4526922748949047,1.1810552865867052,-1.3407273596457179,1.2475323308408908,0.11196491524918684,0.06647704425418555,48.30139188465732,-17.42090532982681
18,-1.5738126861526802,0.9731518197651003,-1.4887600877046614,1.099087584516481,0.08505259844801882,0.12593576475138057,38.7698868876898,-49.93582554734122
19,-1.5501655146292612,0.8620720708229559,-1.5457273398144542,0.9551399855197902,0.004438174814807017,0.09306791469683429,10.379938605139056,-46.01760377542935
20,-1.346702833683102,0.9016296672274995,-1.4549180068831857,0.9099448447819014,-0.10821517320008378,0.00831517755440192,-33.40569495552203,-12.712380221394273
21,-1.1347660495492489,1.0463987573154698,-1.2782016734698827,0.978984280980203,-0.1434356239206338,-0.06741447633526687,-57.52984572117587,23.477120543817506
22,-0.896075128198609,1.0930151776478187,-1.0618098202332507,1.0547181906765097,-0.16573469203464164,-0.03829698697130901,-69.24113388546444,26.27844673025174
23,-0.6689780384318977,0.9959598327653888,-0.8470915158260932,1.0389595760896846,-0.17811347739419547,0.04299974332429579,-70.0,-1.2531115930131722
24,-0.4451217398497219,0.9115183021730773,-0.6340093211632013,0.9711137711335932,-0.18888758131347938,0.05959546896051593,-70.0,-16.965743646874216
25,-0.2674435687419785,0.716542802264049,-0.4233549186797079,0.8349146991537738,-0.15591134993772943,0.11837189688972483,-70.0,-37.43330185531492
